no,evidence_group,filename,file_type,primary_phase,methodology_action,is_sidecar,parent_file
1,01_Tectonic_Terrane_KMZ,"Geological and Tectonic Characteristics of the Lake Terrane, Mongolia.png",image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
2,01_Tectonic_Terrane_KMZ,Mongolia_Tectonic_Terrane_Map_Project_Area_Lake_Island_Arc_Terrane.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
3,01_Tectonic_Terrane_KMZ,MUGZ500_Geomed2013_Explanatory_Text_Central_Mongolian_Massif_and_Daagandel_Tectonic_Zone_Page11.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
4,01_Tectonic_Terrane_KMZ,MUGZ500_Geomed2013_Explanatory_Text_Nuur_Accretionary_Megazone_Part1_Page08.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
5,01_Tectonic_Terrane_KMZ,MUGZ500_Geomed2013_Explanatory_Text_Nuur_Accretionary_Megazone_Part2_Page09.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
6,01_Tectonic_Terrane_KMZ,MUGZ500_Geomed2013_Explanatory_Text_Nuur_Accretionary_Megazone_Part3_Page10.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
7,01_Tectonic_Terrane_KMZ,Regional_Tectonic_Subdivision_Map_of_Mongolia_Tumurtogoo_2017_Buduunkhad_Project_in_Ulaanshand_Zone.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
8,01_Tectonic_Terrane_KMZ,MN_BuduunKhad_L23222_LicenseBoundary_WGS84_v01_raw.kmz,kmz,01,KMZ/KML polygon import; reproject WGS84(EPSG:4326)->EPSG:32647; validate geometry/topology; write license_boundary to Master GeoPackage; generate buffers.,false,
9,02_DEM_ALOS_ASTERGDEM,ASTER-GDEM-v3_N45E096_DEM_1arcsec_WGS84_v01_raw.tif,raster,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,false,
10,02_DEM_ALOS_ASTERGDEM,ASTER-GDEM-v3_N45E096_NumObservations_1arcsec_WGS84_v01_raw.tif,raster,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,false,
11,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_DEM_12p5m_UTM47N_Raw_v01.tfw,world_file,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,true,XV023222_Buduunkhad_ALOS-PALSAR_DEM_12p5m_UTM47N_Raw_v01.tif
